symbol
^NSEI
^BSESN
^NSEBANK
AARTIIND.NS
ABB.NS
ADANIENT.NS
ADANIPORTS.NS
APOLLOHOSP.NS
ASHOKLEY.NS
ASTRAL.NS
AUROPHARMA.NS
AXISBANK.NS
BAJFINANCE.NS
BALKRISIND.NS
BDL.NS
BEL.NS
BHARATFORG.NS
BHARTIARTL.NS
BSE.NS
CAMS.NS
CDSL.NS
CIPLA.NS
COALINDIA.NS
COFORGE.NS
COLPAL.NS
CUMMINSIND.NS
DIVISLAB.NS
DIXON.NS
DLF.NS
DMART.NS
DRREDDY.NS
EICHERMOT.NS
FORTIS.NS
GODREJCP.NS
GODREJPROP.NS
GRASIM.NS
HAL.NS
HAVELLS.NS
HCLTECH.NS
HDFCBANK.NS
HEROMOTOCO.NS
HINDUNILVR.NS
ICICIBANK.NS
IEX.NS
INDIGO.NS
INFY.NS
IOC.NS
IRCTC.NS
ITC.NS
JINDALSTEL.NS
JIOFIN.NS
JSL.NS
JUBLFOOD.NS
KOTAKBANK.NS
LAURUSLABS.NS
LODHA.NS
LT.NS
M&M.NS
MARICO.NS
MARUTI.NS
MAZDOCK.NS
MCX.NS
MGL.NS
MOTHERSON.NS
MPHASIS.NS
NAUKRI.NS
OBEROIRLTY.NS
OFSS.NS
OIL.NS
ONGC.NS
PAGEIND.NS
PAYTM.NS
PEL.NS
PERSISTENT.NS
PFC.NS
PIDILITIND.NS
PIIND.NS
PNBHOUSING.NS
POLYCAB.NS
POONAWALLA.NS
SBICARD.NS
SBIN.NS
SUNPHARMA.NS
SUPREMEIND.NS
TATACONSUM.NS
TATAMOTORS.NS
TATAPOWER.NS
TCS.NS
TITAN.NS
TRENT.NS
TVSMOTOR.NS
VBL.NS
VEDL.NS
VOLTAS.NS
WIPRO.NS
